# source, target, weight, layer
0,1,1,1
0,37,1,1
0,251,1,3
0,70,1,4
0,63,1,14
0,202,1,16
0,41,1,20
0,75,1,26
0,87,1,26
0,13,1,30
0,64,1,30
0,70,1,30
0,25,1,31
0,54,1,33
0,13,1,36
0,13,1,37
1,6,1,1
1,7,1,1
1,9,1,1
1,13,1,1
1,14,1,1
1,16,1,1
1,17,1,1
1,19,1,1
1,21,1,1
1,23,1,1
1,25,1,1
1,26,1,1
1,27,1,1
1,29,1,1
1,30,1,1
1,31,1,1
1,33,1,1
1,34,1,1
1,37,1,1
1,39,1,1
1,40,1,1
1,41,1,1
1,42,1,1
1,44,1,1
1,47,1,1
1,49,1,1
1,50,1,1
1,53,1,1
1,54,1,1
1,56,1,1
1,57,1,1
1,58,1,1
1,60,1,1
1,61,1,1
1,63,1,1
1,65,1,1
1,66,1,1
1,67,1,1
1,70,1,1
1,74,1,1
1,76,1,1
1,77,1,1
1,78,1,1
1,79,1,1
1,81,1,1
1,82,1,1
1,83,1,1
1,95,1,1
1,98,1,1
1,100,1,1
1,107,1,1
1,111,1,1
1,121,1,1
1,146,1,1
1,154,1,1
1,163,1,1
1,165,1,1
1,171,1,1
1,174,1,1
1,180,1,1
1,183,1,1
1,186,1,1
1,195,1,1
1,198,1,1
1,201,1,1
1,207,1,1
1,214,1,1
1,218,1,1
1,224,1,1
1,227,1,1
1,243,1,1
1,275,1,1
1,277,1,1
1,282,1,1
1,283,1,1
1,345,1,1
1,11,1,4
1,70,1,4
1,23,1,5
1,56,1,6
1,66,1,6
1,106,1,6
1,180,1,6
1,204,1,6
1,215,1,6
1,224,1,6
1,6,1,7
1,26,1,8
1,27,1,8
1,30,1,8
1,243,1,8
1,14,1,9
1,79,1,10
1,82,1,10
1,65,1,11
1,49,1,12
1,63,1,14
1,193,1,14
1,16,1,15
1,60,1,15
1,350,1,15
1,214,1,17
1,76,1,19
1,29,1,20
1,34,1,20
1,41,1,20
1,74,1,20
1,174,1,20
1,49,1,22
1,107,1,23
1,14,1,26
1,283,1,26
1,359,1,26
1,63,1,28
1,5,1,29
1,15,1,29
1,35,1,29
1,72,1,29
1,127,1,29
1,13,1,30
1,64,1,30
1,25,1,31
1,9,1,32
1,52,1,32
1,54,1,33
1,77,1,34
2,37,1,1
2,66,1,1
2,70,1,1
2,180,1,1
2,251,1,3
2,23,1,5
2,37,1,6
2,42,1,6
2,56,1,6
2,66,1,6
2,71,1,6
2,95,1,6
2,106,1,6
2,121,1,6
2,165,1,6
2,180,1,6
2,210,1,6
2,288,1,6
2,376,1,6
2,6,1,7
2,14,1,9
2,63,1,14
2,34,1,16
2,5,1,24
2,9,1,24
2,11,1,24
2,13,1,24
2,15,1,24
2,17,1,24
2,19,1,24
2,25,1,24
2,26,1,24
